"","x","y","top","sd_x","sd_y","pas_nr","synced_time"
"1",538.429414701264,-0.617444345673176,1937907.6806157,44.9220483988506,8.59579937728509,271,"2016-03-01 03:53:50.995667"
"2",538.431535512811,-0.617449416817925,1937940.69393488,44.8808856278475,8.37247710014532,271,"2016-03-01 03:54:23.971989"
"3",538.43339612203,-0.617455669465422,1937969.44950225,44.8450061586691,8.17298509119041,271,"2016-03-01 03:54:52.738625"
"4",538.441000901125,-0.617479567101223,1938073.09310649,44.7158160039906,7.40952823112741,271,"2016-03-01 03:56:36.382235"
"5",538.445234300357,-0.617493416544673,1938135.36275046,44.6378784184034,6.910378062971,271,"2016-03-01 03:57:38.677814"
"6",538.44908116558,-0.617504911126852,1938192.46765857,44.5662699311263,6.4185883821475,271,"2016-03-01 03:58:35.782725"
"7",538.451005856761,-0.617508250105408,1938222.19104491,44.5289193837215,6.14705472952776,271,"2016-03-01 03:59:05.480005"
"8",538.453697611745,-0.54786929615092,1938244.69194242,44.5012738966537,5.94087762721517,271,"2016-03-01 03:59:28.007011"
"9",538.456512924435,-0.475028212726749,1938268.22747097,44.4723390091293,5.71558165221743,271,"2016-03-01 03:59:51.542540"
"10",538.459588351966,-0.39547170723792,1938293.9328115,44.4407155410428,5.45683640740121,271,"2016-03-01 04:00:17.247881"
"11",538.463163466387,-0.303110909560846,1938323.77537181,44.4039764552818,5.13726163368206,271,"2016-03-01 04:00:47.064517"
"12",538.465875143054,-0.232955199134531,1938346.44327838,44.3760483834736,4.87838242947026,271,"2016-03-01 04:01:09.721303"
"13",538.466600021124,-0.184260695955272,1938370.2839697,44.3469932292811,4.69381624610096,271,"2016-03-01 04:01:33.561892"
"14",538.455533148379,-0.14359142716755,1938396.64347785,44.3105684599538,4.6857390743894,271,"2016-03-01 04:01:59.921469"
"15",538.425728561005,0.0944244806833069,1938454.39342247,44.2273461509339,4.97094490275433,271,"2016-03-01 04:02:57.708459"
"16",538.409781485239,0.22113239394295,1938485.13600327,44.1828933645001,5.04698995524951,271,"2016-03-01 04:03:28.451026"
"17",538.397239975013,0.320737662082468,1938509.30274606,44.1478896605054,5.07222101914576,271,"2016-03-01 04:03:52.617758"
"18",538.383365429745,0.430940035965224,1938536.04062307,44.1091036783694,5.06532672885064,271,"2016-03-01 04:04:19.329633"
"19",538.367311128151,0.611080848159821,1938568.37966418,44.0623889567181,5.02582002141865,271,"2016-03-01 04:04:51.668605"
"20",538.355547557293,0.842939129656341,1938595.85386711,44.0234880628733,4.95508531368067,271,"2016-03-01 04:05:19.131543"
"21",538.311884510066,0.768452566583838,1938629.32509021,43.9652108264653,5.06139259501255,271,"2016-03-01 04:05:52.614152"
"22",538.273098087185,0.692883879043695,1938658.945058,43.9131472948758,5.13738200578613,271,"2016-03-01 04:06:22.259977"
"23",538.184057470781,0.518867323265572,1938727.14943204,43.7930683818457,5.14946801267829,271,"2016-03-01 04:07:30.438368"
"24",538.203015237247,0.878163947546105,1938752.91492416,43.7882293914952,5.13830973843528,271,"2016-03-01 04:07:56.229791"
"25",538.225411110168,1.3025124490788,1938783.34535898,43.7824405809599,5.07860625753895,271,"2016-03-01 04:08:26.634219"
"26",538.243427262903,1.68325903455341,1938806.88560343,43.7783444742076,5.00146490502248,271,"2016-03-01 04:08:50.174498"
"27",538.263709610335,2.14735045550611,1938832.61016189,43.7741715383479,4.89127112172774,271,"2016-03-01 04:09:15.899177"
"28",538.287351555026,2.68820180492344,1938862.58951695,43.7692362098926,4.71605066697254,271,"2016-03-01 04:09:45.878551"
"29",538.305242527771,3.09758316536759,1938885.28150058,43.765445696571,4.54657681630949,271,"2016-03-01 04:10:08.570531"
"30",538.324164178917,3.53684591654516,1938909.1899451,43.7613502628806,4.34870298267003,271,"2016-03-01 04:10:32.479010"
"31",538.345059808727,4.02192554855867,1938935.59112406,43.7566453945021,4.10045199892729,271,"2016-03-01 04:10:58.868664"
"32",538.365356329174,4.59868241704651,1938966.94166172,43.7487638384529,3.97473783401136,271,"2016-03-01 04:11:30.219018"
"33",538.362786689977,4.80672437602475,1938992.40170584,43.7372065224531,3.93927442032829,271,"2016-03-01 04:11:55.679400"
"34",538.406283385426,6.31094595598634,1939065.57580773,43.717434928521,3.90937441316211,271,"2016-03-01 04:13:08.852960"
"35",538.385841158279,6.56987881976753,1939111.86245303,43.6926886235067,3.90845479711376,271,"2016-03-01 04:13:55.139845"
"36",538.374302938949,6.71552840026307,1939137.89781334,43.6786800104355,3.82526640414045,271,"2016-03-01 04:14:21.175024"
"37",538.34260301575,6.7476927676531,1939168.42379477,43.6582222242146,3.93927363098813,271,"2016-03-01 04:14:51.738665"
"38",538.257124085118,6.8349024732597,1939251.19918596,43.6026707210243,3.88965487531134,271,"2016-03-01 04:16:14.487914"
"39",538.229188554443,7.02314455249091,1939278.1361412,43.5853646452973,3.74198653130787,271,"2016-03-01 04:16:41.413672"
"40",538.229166666659,7.92068324574607,1939310.63511785,43.5752838835713,3.60196546935473,271,"2016-03-01 04:17:13.924163"
"41",538.229140944664,8.69453448980376,1939338.65550074,43.5665234905217,3.46028930941746,271,"2016-03-01 04:17:41.932190"
"42",538.178365935807,8.85954575670652,1939373.65559951,43.5429475390126,3.30767203745327,271,"2016-03-01 04:18:16.932428"
"43",538.102646569214,8.90899400721455,1939406.58683629,43.515923623053,3.25744017130129,271,"2016-03-01 04:18:49.863874"
"44",538.038881164221,9.01230401453527,1939435.50209878,43.4934395138435,3.2850169744684,271,"2016-03-01 04:19:18.778741"
