X,Y,top,sd_x,sd_y,pas_nr,DATETIME,sd_xy,X_filtered,Y_filtered,filtered_error,X_smoothed,Y_smoothed,smoothed_error
538.429414701264,-0.6174443456731761,1937907.6806156999,44.922048398850606,8.59579937728509,271,2016-03-01 03:53:50.995667,45.73705499136571,538.429414701264,-0.6174443456731761,45.73705499136571,538.4327279482553,-0.6244224801088398,24.061765948401906
538.431535512811,-0.6174494168179251,1937940.69393488,44.8808856278475,8.372477100145321,271,2016-03-01 03:54:23.971989,45.65514502805117,538.4324261890159,-0.617451546544145,32.384127421109156,538.4347885122361,-0.6243986526591507,23.062786735347856
538.43339612203,-0.6174556694654221,1937969.44950225,44.8450061586691,8.17298509119041,271,2016-03-01 03:54:52.738625,45.58368417177236,538.4334946489896,-0.6174547296440077,26.90309600248245,538.4365792356691,-0.6241769601540407,21.918281438012208
538.441000901125,-0.617479567101223,1938073.09310649,44.715816003990604,7.4095282311274095,271,2016-03-01 03:56:36.382235,45.32554808836421,538.4378828188404,-0.6174681727741935,29.475857762580517,538.4435549737636,-0.6147512643964979,20.205600055979513
538.445234300357,-0.617493416544673,1938135.36275046,44.637878418403396,6.910378062971,271,2016-03-01 03:57:38.677814,45.16960830768133,538.4414842184916,-0.6174802892865888,29.15853872916058,538.4480992593772,-0.5918151752015163,18.98366291779052
538.44908116558,-0.617504911126852,1938192.46765857,44.5662699311263,6.418588382147501,271,2016-03-01 03:58:35.782725,45.02611122885754,538.4451046817406,-0.6174920219351592,28.653743455001713,538.4520816608248,-0.5462014523434325,17.32014980809595
538.4510058567611,-0.617508250105408,1938222.19104491,44.5289193837215,6.14705472952776,271,2016-03-01 03:59:05.480005,44.95120624999709,538.4475207103372,-0.6174988534249491,26.386972947545825,538.4537868328431,-0.5084395227003338,16.452309337922596
538.453697611745,-0.5478692961509201,1938244.69194242,44.5012738966537,5.94087762721517,271,2016-03-01 03:59:28.007011,44.89607338516964,538.449716176947,-0.5966905233966124,24.543772947925763,538.454733747787,-0.47199818795974496,15.949601652741963
538.456512924435,-0.47502821272674894,1938268.22747097,44.47233900912929,5.71558165221743,271,2016-03-01 03:59:51.542540,44.83811783032476,538.4520108516581,-0.5616121352476304,23.55203160889179,538.4552198762445,-0.4267452312804058,15.61383174832419
538.459588351966,-0.39547170723792,1938293.9328115003,44.44071554104279,5.45683640740121,271,2016-03-01 04:00:17.247881,44.774482256939855,538.4545537753964,-0.5128058782612226,23.213803122684485,538.4549042544176,-0.3696855107564899,15.447311486966083
538.4631634663871,-0.303110909560846,1938323.77537181,44.4039764552818,5.137261633682059,271,2016-03-01 04:00:47.064517,44.70016311082234,538.457557498578,-0.446876280081488,23.48268631807881,538.45301033889,-0.2949456393765087,15.453742651037924
538.465875143054,-0.23295519913453103,1938346.44327838,44.37604838347361,4.87838242947026,271,2016-03-01 04:01:09.721303,44.643390163164746,538.4603139926497,-0.3807197917017585,22.994698422658463,538.4501651287261,-0.23296118142240482,15.58383191488101
538.466600021124,-0.18426069595527203,1938370.2839696999,44.346993229281104,4.69381624610096,271,2016-03-01 04:01:33.561892,44.59470506046727,538.4625949342427,-0.3167432561908631,22.78932228717957,538.4456271336484,-0.1635456329541764,15.823567499450705
538.455533148379,-0.14359142716755,1938396.64347785,44.31056845995379,4.6857390743894,271,2016-03-01 04:01:59.921469,44.55763265611753,538.4614098260178,-0.25548248345479463,22.921128949039513,538.4386539211677,-0.08227708016613616,16.135087605147927
538.425728561005,0.0944244806833069,1938454.39342247,44.2273461509339,4.97094490275433,271,2016-03-01 04:02:57.708459,44.505824796095474,538.4496840348928,-0.10893513414718552,26.062784327214526,538.4167358147861,0.10859007542197517,16.317734685295303
538.409781485239,0.22113239394295,1938485.13600327,44.1828933645001,5.04698995524951,271,2016-03-01 04:03:28.451026,44.47021670362285,538.4358011004198,0.01665042180927377,25.255369484780157,538.4018233332245,0.21389909219968095,16.117512166557443
538.397239975013,0.320737662082468,1938509.30274606,44.1478896605054,5.0722210191457595,271,2016-03-01 04:03:52.617758,44.43831215902809,538.422867012512,0.12544658869338796,24.10598179799101,538.3886857410514,0.29689765939376966,15.98752714675899
538.383365429745,0.43094003596522396,1938536.04062307,44.1091036783694,5.065326728850639,271,2016-03-01 04:04:19.329633,44.3989928059089,538.4093769109892,0.23572491413675245,23.621268188481686,538.3728770280547,0.38779247216058427,15.95196117203332
538.3673111281511,0.611080848159821,1938568.37966418,44.0623889567181,5.02582002141865,271,2016-03-01 04:04:51.668605,44.348088881718525,538.3940324344676,0.3739058511320924,23.89535274775368,538.3522707428264,0.49576010349805155,16.058961719599218
538.355547557293,0.8429391296563409,1938595.85386711,44.0234880628733,4.955085313680669,271,2016-03-01 04:05:19.131543,44.30147143930777,538.380070947499,0.5349964376144603,23.640160817685928,538.3339534399535,0.585887312586939,16.261664986051816
538.311884510066,0.768452566583838,1938629.32509021,43.9652108264653,5.06139259501255,271,2016-03-01 04:05:52.614152,44.25559239255972,538.3561996070093,0.6418433376423016,24.05679651823545,538.311615694001,0.6983372380685644,16.597127229887825
538.273098087185,0.6928838790436949,1938658.9450580003,43.91314729487579,5.1373820057861295,271,2016-03-01 04:06:22.259977,44.21263619390764,538.3275600824986,0.6863241251861374,23.947736055114095,538.2932395679019,0.8105046903412743,16.87928859527835
538.184057470781,0.5188673232655721,1938727.14943204,43.7930683818457,5.14946801267829,271,2016-03-01 04:07:30.438368,44.09478267449121,538.2635635920532,0.6586928093226075,27.29274243293372,538.2638482050077,1.18380394787584,16.59659641656294
