,DATETIME,X,Y,HPE,X_outl,Y_outl,X_filtered,Y_filtered,filtered_error,URX,pas_nr
1881,2016-05-26 19:42:50,185.42779852391686,141.3354941215366,6.5,185.42779852391686,141.3354941215366,186.13553885964674,141.8142088118804,6.129343307778706,S13 S14 S16 S18-2 S8 S9,1883.0
1882,2016-05-26 19:43:43,183.04438569943886,138.9301963057369,6.3,183.04438569943886,138.9301963057369,183.2554010407492,139.20247346937614,5.790113405624094,S12 S13 S14 S18-2 S8 S9,1883.0
1883,2016-05-26 19:44:07,174.66866254608613,135.3514303136617,6.0,,,,,,S12 S13 S14 S16 S18-2 S8,1883.0
1884,2016-05-26 19:44:32,188.403209424112,142.64496760815382,6.9,,,,,,S12 S13 S14 S18-2 S8 S9,1883.0
1885,2016-05-26 19:45:03,187.22896195028443,142.05486595258117,6.7,,,,,,S13 S14 S16 S18-2 S8 S9,1883.0
1886,2016-05-26 19:45:26,193.402394621633,146.68326851259917,7.3,,,,,,S12 S14 S16 S17 S18-2 S8,1883.0
1887,2016-05-26 19:45:51,186.3602859743405,140.58328248094767,9.2,186.3602859743405,140.58328248094767,185.8500949878003,140.24445033001382,8.796313864435648,S12 S13 S16 S18-2 S8 S9,1883.0
1888,2016-05-26 19:46:18,182.29641012556385,140.57795328088105,6.7,,,,,,S13 S14 S16 S18-2 S8 S9,1883.0
1889,2016-05-26 19:46:52,185.9146906066453,141.46074662916362,6.5,185.9146906066453,141.46074662916362,186.03533936522643,141.39720473681453,6.126491278733621,S12 S13 S14 S18-2 S8 S9,1883.0
1890,2016-05-26 19:47:23,185.5293551236391,145.1219724426046,7.4,185.5293551236391,145.1219724426046,185.72317469418098,143.99885786662082,6.046052466037099,S12 S14 S16 S18-2 S8 S9,1883.0
1891,2016-05-26 19:47:46,189.6378964947071,143.57064779940993,6.5,189.6378964947071,143.57064779940993,188.35978491600991,144.0296562303492,5.366053668971075,S12 S13 S14 S16 S8 S9,1883.0
