"shapeid","x","y"
"0","5.11407643572","51.0975560325"
"0","5.11092449923","51.0980675987"
"0","5.10923139821","51.0982782419"
"0","5.10920477713","51.0981946534"
"0","5.10900245688","51.0982280889"
"0","5.10895453892","51.0980809729"
"0","5.10915153496","51.0980542245"
"0","5.10909296857","51.0979171386"
"0","5.10889597254","51.0979505742"
"0","5.10884805458","51.0978034574"
"0","5.10904505061","51.0977700216"
"0","5.10895986314","51.0975225966"
"0","5.10961474184","51.0974156016"
"0","5.10969992931","51.0974490375"
"0","5.10986498004","51.0974222888"
"0","5.10988095269","51.0974089144"
"0","5.10995016751","51.09739554"
"0","5.10989692534","51.0972751702"
"0","5.10983835895","51.097285201"
"0","5.10984368317","51.0973052627"
"0","5.10973719883","51.0973219807"
"0","5.10961474184","51.097067866"
"0","5.10972122618","51.0970511479"
"0","5.10973719883","51.0970745532"
"0","5.10980641365","51.0970645224"
"0","5.1097584957","51.0969474954"
"0","5.11266019399","51.0961918283"
"0","5.11337896329","51.0960747991"
